410000015G04,A184 (E-Bound),twrdjdjg,A184,Outside Half Moon Hotel Public House,A184,E-Bound,E,Gateshead,,Gateshead
410000014930,A184 Slip Road (SW-Bound),twrdapgp,A184 Slip Road,Slip Road Leading To Bolam Street,Askew Road,SW-Bound,SW,Teams,Gateshead,Teams
410000003956,A189-Whitehouse Farm (NW-Bound),twrjdamg,A189-Whitehouse Farm,,A189,NW-Bound,NW,West Moor,Newcastle upon Tyne,West Moor
410000003955,A189-Whitehouse Farm (SE-Bound),twrjdamj,A189-Whitehouse Farm,,A189,SE-Bound,SE,West Moor,Newcastle upon Tyne,West Moor
410000004905,A192 Earsdon Rd (N-Bound),twragamp,A192 Earsdon Rd,Tba,County Boundary,N-Bound,N,Earsdon,Whitley Bay,Earsdon
410000004906,A192 Earsdon Rd (S-Bound),twragamt,A192 Earsdon Rd,Tba,County Boundary,S-Bound,S,Earsdon,Whitley Bay,Earsdon
410000007024,A69-The Burnside (E-Bound),twragmgd,A69-The Burnside,Opposite St Vincents Home,Roman Way,E-Bound,E,West Denton,Newcastle upon Tyne,West Denton
410000028932,Abbey Dr-Fountains Cres (SE-Bound),twrgwpad,Abbey Dr-Fountains Cres,Outside No 27 Abbey Drive,Abbey Drive,SE-Bound,SE,Houghton-le-Spring,Sunderland,Houghton-Le-Spring
410000028936,Abbey Drive (NE-Bound),twrgwpap,Abbey Drive,Outside 185 Abbey Drive,Abbey Drive,NE-Bound,NE,Houghton-le-Spring,Sunderland,Houghton-Le-Spring
410000028937,Abbey Drive (SW-Bound),twrgwpat,Abbey Drive,Opposite No 183 Abbey Drive,Abbey Drive,SW-Bound,SW,Houghton-le-Spring,Sunderland,Houghton-Le-Spring
410000028933,Abbey Drive-Rosedale Crescent (NW-Bound),twrgwpag,Abbey Drive-Rosedale Crescent,Outside Electricity Sub Station,Abbey Drive,NW-Bound,NW,Houghton-le-Spring,Sunderland,Houghton-Le-Spring
410000023093,Abbey Road (N-Bound),twrdtjtp,Abbey Road,Opposite Washington St Joseph's Primary School,Abbey Road,N-Bound,N,Washington Village,Washington,Washington Village
410000023094,Abbey Road (S-Bound),twrdtjtw,Abbey Road,South Of St Josephs Rc Primary School,Abbey Road,S-Bound,S,Washington Village,Washington,Washington Village
410000015046,Abbotsford Road-Brewery Lane (E-Bound),twrdatmt,Abbotsford Road-Brewery Lane,Outside Brewery Lane Junction,Abbotsford Road,E-Bound,E,Felling,Gateshead,Felling
410000015053,Abbotsford Road-Eastern Court (W-Bound),twrdatpt,Abbotsford Road-Eastern Court,Outside Abbotsford Road Play Ground,Abbotsford Road,W-Bound,W,Felling,Gateshead,Felling
410000015045,Abbotsford Road-Green Lane (E-Bound),twrdatmp,Abbotsford Road-Green Lane,Opposite Abbotsford Road Playing Field,ABBOTSFORD ROAD,E-Bound,E,Felling,Gateshead,Felling
410000015311,Abbotsford Road-Stoneygate Lane (E-Bound),twrdgmpm,Abbotsford Road-Stoneygate Lane,50m West Of Stoneygate Lane,Abbotsford Road,E-Bound,E,Felling,Gateshead,Felling
410000016931,Abingdon Way (N-Bound),twrdmawg,Abingdon Way,80m North Of Newcastle Road,Abingdon Way,N-Bound,N,Boldon,,Boldon
410000016934,Abingdon Way (N-Bound),twrdmawp,Abingdon Way,Opposite Cineworld Boldon,Abingdon Way,N-Bound,N,Boldon,,Boldon
410000016932,Abingdon Way (S-Bound),twrdmawj,Abingdon Way,70m North Of Newcastle Road,Abingdon Way,S-Bound,S,Boldon,,Boldon
410000016933,Abingdon Way (S-Bound),twrdmawm,Abingdon Way,Outside Cineworld Cinema Boldon,Abingdon Way,S-Bound,S,Boldon,,Boldon
410000017015,Academy Of Light (N-Bound),twrdmdpj,Academy Of Light,Opposite Safc Academy Of Light,Sunderland Road,N-Bound,N,Cleadon,South Shields,Cleadon
410000017010,Academy Of Light (S-Bound),twrdmdmt,Academy Of Light,Outside Safc Academy Of Light,Sunderland Road,S-Bound,S,Cleadon,South Shields,Cleadon
410000008908,Acomb Crescent (E-Bound),twrgwtjd,Acomb Crescent,Outside Of Haydon Close Entrance,Acomb Crescent,E-Bound,E,Fawdon,Newcastle upon Tyne,Fawdon
410000008909,Acomb Crescent (S-Bound),twrgwtjg,Acomb Crescent,Opposite 61 Acomb Crescent,Acomb Crescent,S-Bound,S,Fawdon,Newcastle upon Tyne,Fawdon
410000008910,Acomb Crescent (S-Bound),twrgwtjm,Acomb Crescent,Opposite Ross Way Junction,Acomb Crescent,S-Bound,S,Fawdon,Newcastle upon Tyne,Fawdon
410000010978,Addington Drive - Camerton Place (N-Bound),twratjat,Addington Drive - Camerton Place,30m North Of Surgery,Addington Drive,N-Bound,N,Hadrian Park,,Hadrian Park
410000010317,Addington Drive - Camerton Place (S-Bound),twratdmd,Addington Drive - Camerton Place,Opposite Addington Drive Surgery,Addington Drive,S-Bound,S,Hadrian Park,,Hadrian Park
410000010316,Addington Drive- Carnforth Close (E-Bound),twratdma,Addington Drive- Carnforth Close,Opposite Carnforth Close Junction,Addington Drive,E-Bound,E,Hadrian Park,,Hadrian Park
410000010321,Addington Drive-Agricola Gardens (SE-Bound),twratdmt,Addington Drive-Agricola Gardens,Outside Agricola Gardens,Addington Drive,SE-Bound,SE,Hadrian Park,,Hadrian Park
410000010319,Addington Drive-Alder Road (S-Bound),twratdmj,Addington Drive-Alder Road,50m Opposite Ashburn Road Junction,Addington Drive,S-Bound,S,Hadrian Park,,Hadrian Park
410000010311,Addington Drive-Ashburn Road (N-Bound),twratdjg,Addington Drive-Ashburn Road,20m North Of Ashburn Road Junction,Addington Drive,N-Bound,N,Hadrian Park,,Hadrian Park
410000010325,Addington Drive-Augusta Court (N-Bound),twratdpg,Addington Drive-Augusta Court,75m South Of Hadrian Park Middle School,Addington Drive,N-Bound,N,Hadrian Park,,Hadrian Park
410000010312,Addington Drive-Augusta Court (W-Bound),twratdjm,Addington Drive-Augusta Court,East Of Augusta Court,Addington Drive,W-Bound,W,Hadrian Park,,Hadrian Park
410000010313,Addington Drive-Avon Close (W-Bound),twratdjp,Addington Drive-Avon Close,Outside No 75 Addington Drive,Addington Drive,W-Bound,W,Hadrian Park,,Hadrian Park
410000010315,Addington Drive-Aysgarth Avenue (N-Bound),twratdjw,Addington Drive-Aysgarth Avenue,South Of Aysgarth Avenue Junction,Addington Drive,N-Bound,N,Hadrian Park,,Hadrian Park
410000010322,Addington Drive-Aysgarth Avenue (S-Bound),twratdmw,Addington Drive-Aysgarth Avenue,Opposite Aysgarth Avenue Junction,Addington Drive,S-Bound,S,Hadrian Park,,Hadrian Park
410000010318,Addington Drive-Bellshill Close (SE-Bound),twratdmg,Addington Drive-Bellshill Close,40m North Of Bellshill Close,Addington Drive,SE-Bound,SE,Hadrian Park,,Hadrian Park
410000010323,Addington Drive-Carnforth Close (W-Bound),twratdpa,Addington Drive-Carnforth Close,West Of Carnforth Close Junction,Addington Drive,W-Bound,W,Hadrian Park,,Hadrian Park
410000010324,Addington Drive-The Bush (N-Bound),twratdpd,Addington Drive-The Bush,Outside Addington Drive Surgery,Addington Drive,N-Bound,N,Hadrian Park,,Hadrian Park
410000010320,Addington Drive-Valeria Close (E-Bound),twratdmp,Addington Drive-Valeria Close,Outside Entrance To Valeria Close,Addington Drive,E-Bound,E,Hadrian Park,,Hadrian Park
410000010314,Addington Drive-Valeria Close (NW-Bound),twratdjt,Addington Drive-Valeria Close,65m North Of Canterbury Avenue Junction,Addington Drive,NW-Bound,NW,Hadrian Park,,Hadrian Park
410000013150,Addison Industrial Estate (E-Bound),twrawdmg,Addison Industrial Estate,Opposite Ryton Industrial Estate,Newburn Bridge Road,E-Bound,E,Stella,Gateshead,Stella
410000013154,Addison Industrial Estate (W-Bound),twrawdmw,Addison Industrial Estate,Outside Ryton Industrial Estate,Addison Industrial Estate,W-Bound,W,Stella,Gateshead,Stella
410000016077,Addison Road (E-Bound),twrdjmpd,Addison Road,Opposite Garage,Addison Road,E-Bound,E,West Boldon,Boldon,West Boldon
410000017042,Addison Road (S-Bound),twrdmgdj,Addison Road,Opposite Junction With Harton View,Addison Road,S-Bound,S,West Boldon,Boldon,West Boldon
410000017043,Addison Road (W-Bound),twrdmgdm,Addison Road,Outside Bank Top Garage,Addison Road,W-Bound,W,West Boldon,Boldon,West Boldon
410000014562,Adelaide Terrace - Shops (E-Bound),twrdagpt,Adelaide Terrace - Shops,Outside The Adelaide Centre,Adelaide Terrace,E-Bound,E,Benwell,Newcastle upon Tyne,Benwell
410000014563,Adelaide Terrace - Shops (W-Bound),twrdagpw,Adelaide Terrace - Shops,Opposite The Adelaide Centre,B1311,W-Bound,W,Benwell,Newcastle upon Tyne,Benwell
410000014564,Adelaide Terrace (E-Bound),twrdagta,Adelaide Terrace,Opposite Clara Street,B1311,E-Bound,E,Benwell,Newcastle upon Tyne,Benwell
410000014565,Adelaide Terrace (W-Bound),twrdagtd,Adelaide Terrace,Opposite Bond Memorial Methodist Church,Adelaide Terrace,W-Bound,W,Benwell,Newcastle upon Tyne,Benwell
41000001MS01,Airport Metro (SE-Bound),twradagp,Airport Metro,Airport,Airport,SE-Bound,SE,Airport,Newcastle upon Tyne,Newcastle Airport
410000015333,Albany Road (NE-Bound),twrdgmwt,Albany Road,Outside Club,Albany Road,NE-Bound,NE,Salt Meadows,Gateshead,Salt Meadows
410000015334,Albany Road (SW-Bound),twrdgpad,Albany Road,Opposite Club,Albany Road,SW-Bound,SW,Salt Meadows,Gateshead,Salt Meadows
410000023038,Albany Way - Borrowdale (S-Bound),twrdtgwp,Albany Way - Borrowdale,Opposite Borrowdale Entrance,Albany Way,S-Bound,S,Albany,Washington,Albany
410000023070,Albany Way - Windlass Lane (S-Bound),twrdtjmp,Albany Way - Windlass Lane,Opposite Albany House,Albany Way,S-Bound,S,Albany,Washington,Albany
410000023071,Albany Way (N-Bound),twrdtjmt,Albany Way,Outside Albany House,Albany Way,N-Bound,N,Albany,Washington,Albany
410000010540,Albert Road (E-Bound),twratgmj,Albert Road,Outside Railway Street,Albert Road,E-Bound,E,Jarrow,,Jarrow
410000016084,Albert Road (W-Bound),twrdjmtd,Albert Road,Outside No.221 Albert Road,Albert Road,W-Bound,W,Jarrow,,Jarrow
410000041N02,Albion Road - Upper Camden Street (K),twrgmaga,Albion Road - Upper Camden Street,Outside Christ Church,Albion Street,K,E,North Shields,,North Shields
410000041N03,Albion Road - Upper Camden Street (L),twrgmagd,Albion Road - Upper Camden Street,Opposite Christ Church,A193,L,W,North Shields,,North Shields
410000010010,Albion Road West-Coach Lane (NE-Bound),twrapmpa,Albion Road West-Coach Lane,Outside Spring Gardens Inn Public House,Albion Road,NE-Bound,NE,North Shields,,North Shields
410000041020,Albion Road West-Newcastle Street (SW-Bound),twrgjwad,Albion Road West-Newcastle Street,Opposite St Cuthbert's Rc Church,Albion Road West,SW-Bound,SW,North Shields,,North Shields
410000041002,Albion Road-Brandling Terrace (E-Bound),twrgjtmt,Albion Road-Brandling Terrace,Opposite Magistrates Court,Albion Road,E-Bound,E,North Shields,,North Shields
410000041N18,Albion Road-Sidney Street (SW-Bound),twrgmamg,Albion Road-Sidney Street,Outside Sidney Street Junction,Albion Road,SW-Bound,SW,North Shields,,North Shields
410000015187,Albion Street (E),twrdgdjm,Albion Street,Outside Windy Nook Nature Park,Albion Street,E,W,Windy Nook,Gateshead,Windy Nook
410000015172,Albion Street (F),twrdgdaj,Albion Street,Opposite Windy Nook Nature Park,Albion Street,F,E,Windy Nook,Gateshead,Windy Nook
410000015186,Albion Street-Blenheim Court (W-Bound),twrdgdjg,Albion Street-Blenheim Court,Outside Blenheim Court,ALBION STREET,W-Bound,W,Windy Nook,Gateshead,Windy Nook
410000015175,Albion Street-Cresthaven (E-Bound),twrdgdat,Albion Street-Cresthaven,Outside Cresthaven,Albion Street,E-Bound,E,Windy Nook,Gateshead,Windy Nook
410000015183,Albion Street-Cresthaven (W-Bound),twrdgdgw,Albion Street-Cresthaven,Opposite Cresthaven,Albion Street,W-Bound,W,Windy Nook,Gateshead,Windy Nook
410000015174,Albion Street-Dornoch Crescent (E-Bound),twrdgdap,Albion Street-Dornoch Crescent,Outside The Fiddlers Three Public House,ALBION STREET,E-Bound,E,Windy Nook,Gateshead,Windy Nook
410000015184,Albion Street-Dornoch Crescent (W-Bound),twrdgdja,Albion Street-Dornoch Crescent,Opposite The Fiddlers Three Public House,Albion Street,W-Bound,W,Windy Nook,Gateshead,Windy Nook
410000015173,Albion Street-Howard Street (E-Bound),twrdgdam,Albion Street-Howard Street,Opposite Howard Street,Albion Street,E-Bound,E,Windy Nook,Gateshead,Windy Nook
410000015928,Albion Street-School (E-Bound),twrdjadp,Albion Street-School,Opposite Windy Nook Primary School,Albion Street,E-Bound,E,Windy Nook,Gateshead,Windy Nook
410000015185,Albion Street-School (W-Bound),twrdgdjd,Albion Street-School,Outside Windy Nook Primary School,ALBION STREET,W-Bound,W,Windy Nook,Gateshead,Windy Nook
